Customer_ID,Age,Annual_Income_K,Spending_Score,Purchase_Frequency,Avg_Order_Value,Customer_Lifetime_Value,Years_Customer,Primary_Category,Gender
CUST_0067,43,21.36,62,9,10.0,100.0,14,Electronics,Female
CUST_0068,56,52.26,63,16,10.0,690.97,13,Beauty,Female
CUST_0069,48,26.38,73,17,17.83,454.03,6,Electronics,Female
CUST_0070,36,71.95,14,17,43.27,207.06,11,Beauty,Male
CUST_0071,48,83.05,71,9,10.0,631.85,11,Sports,Female
CUST_0072,62,132.79,90,19,85.94,366.32,2,Home & Garden,Male
CUST_0073,43,92.31,18,16,10.0,347.31,6,Home & Garden,Male
CUST_0074,62,75.93,24,11,42.24,263.82,0,Home & Garden,Female
CUST_0075,18,107.38,97,13,10.0,558.57,8,Beauty,Male
CUST_0076,53,16.17,18,12,87.59,340.8,9,Home & Garden,Male
CUST_0077,45,89.57,85,12,108.58,580.64,12,Electronics,Female
CUST_0078,40,105.63,49,11,10.0,416.0,5,Home & Garden,Male
CUST_0079,45,38.14,25,14,10.0,100.0,4,Sports,Male
CUST_0080,20,116.81,87,10,54.66,302.62,6,Electronics,Male
CUST_0081,41,92.65,45,18,10.0,295.77,4,Home & Garden,Male
CUST_0082,48,70.04,51,14,10.0,311.76,9,Home & Garden,Male
CUST_0083,61,101.48,36,18,11.42,100.0,4,Fashion,Female
CUST_0084,37,150.0,59,16,10.0,959.34,10,Beauty,Female
CUST_0085,34,87.96,17,18,10.0,530.19,9,Electronics,Male
CUST_0086,37,89.95,39,24,10.0,417.32,10,Fashion,Female
CUST_0087,54,68.72,96,7,10.0,439.85,6,Sports,Male
CUST_0088,47,57.0,26,12,77.88,149.57,9,Beauty,Male
CUST_0089,37,107.41,66,21,10.0,222.44,14,Electronics,Female
CUST_0090,50,56.82,33,12,46.34,228.13,6,Home & Garden,Male
CUST_0091,45,84.65,77,14,10.0,451.84,12,Electronics,Female
CUST_0092,55,68.17,13,8,10.0,100.0,10,Home & Garden,Male
CUST_0093,35,96.87,97,4,49.21,551.57,14,Beauty,Female
CUST_0094,40,92.51,45,21,26.25,288.97,2,Home & Garden,Male
CUST_0095,39,113.63,24,15,39.89,100.0,2,Sports,Male
CUST_0096,26,67.2,8,13,55.13,100.0,9,Home & Garden,Male
CUST_0097,47,74.4,17,25,10.0,117.09,11,Sports,Female
CUST_0098,47,53.14,52,22,10.0,639.81,12,Beauty,Female
CUST_0099,44,69.17,34,14,10.0,351.65,14,Beauty,Female
CUST_0100,41,93.82,83,12,10.0,169.54,2,Electronics,Male
CUST_0101,27,105.21,43,11,157.98,436.63,5,Sports,Male
CUST_0102,38,54.84,25,16,67.72,100.0,11,Sports,Male
CUST_0103,39,108.59,62,9,10.0,619.71,14,Fashion,Female
CUST_0104,34,123.17,70,11,10.0,362.11,5,Fashion,Female
CUST_0105,42,94.9,17,20,33.58,222.08,12,Fashion,Male
CUST_0106,48,138.8,17,15,41.24,593.77,12,Home & Garden,Female
CUST_0107,66,59.29,4,8,33.37,100.0,2,Fashion,Male
CUST_0108,46,45.16,73,15,10.0,100.0,2,Sports,Female
CUST_0109,47,29.14,66,14,10.0,139.56,7,Home & Garden,Female
CUST_0110,43,127.38,47,11,29.13,603.44,7,Beauty,Male
CUST_0111,20,102.13,84,14,14.51,152.39,6,Electronics,Male
CUST_0112,43,80.83,80,17,10.0,100.0,9,Fashion,Female
CUST_0113,44,90.9,58,7,10.0,265.57,3,Beauty,Female
CUST_0114,70,48.74,86,19,10.0,465.82,14,Sports,Female
CUST_0115,41,150.0,21,11,23.76,603.05,3,Electronics,Female
CUST_0116,47,86.38,12,10,157.9,116.12,2,Beauty,Male
CUST_0117,43,85.78,27,18,26.95,170.28,4,Electronics,Female
CUST_0118,29,104.27,6,12,10.0,457.33,2,Fashion,Female
CUST_0119,57,96.93,53,15,55.78,100.0,12,Sports,Female
CUST_0120,53,89.22,93,15,33.06,379.73,7,Electronics,Male
CUST_0121,53,58.79,4,9,26.88,167.66,6,Beauty,Male
CUST_0122,33,96.64,13,19,40.01,322.13,12,Fashion,Male
CUST_0123,60,138.96,45,11,116.72,310.96,2,Fashion,Male
CUST_0124,27,122.86,93,12,10.0,531.61,8,Beauty,Male
CUST_0125,51,130.3,32,16,36.71,100.0,11,Beauty,Male
CUST_0126,70,67.16,51,19,10.0,155.68,13,Electronics,Male
CUST_0127,32,52.81,5,21,33.06,211.33,12,Home & Garden,Male
CUST_0128,37,78.73,15,10,10.0,100.0,4,Fashion,Female
CUST_0129,45,84.17,98,19,10.0,474.14,8,Electronics,Male
CUST_0130,37,115.33,96,10,10.0,608.03,6,Beauty,Male
CUST_0131,25,31.73,1,17,51.96,100.0,14,Electronics,Male
CUST_0132,44,128.39,95,14,58.76,575.87,6,Beauty,Male
CUST_0133,31,77.76,64,19,10.0,154.97,5,Sports,Female
CUST_0134,49,69.69,86,26,10.0,356.06,1,Beauty,Male
CUST_0135,32,52.14,46,17,10.0,364.32,8,Beauty,Female
CUST_0136,62,32.85,52,20,10.0,253.1,5,Beauty,Female
CUST_0137,34,107.2,49,10,10.0,244.08,7,Home & Garden,Female
CUST_0138,40,84.7,67,16,10.0,415.24,0,Beauty,Female
CUST_0139,53,43.8,14,11,125.72,272.52,4,Fashion,Female
CUST_0140,29,43.65,3,19,26.01,100.0,11,Fashion,Female
CUST_0141,46,72.43,31,17,10.0,469.67,0,Electronics,Male
CUST_0142,59,132.57,70,15,10.0,407.89,9,Home & Garden,Male
CUST_0143,24,74.71,20,14,58.54,294.52,10,Electronics,Female
CUST_0144,46,37.41,67,15,108.16,515.26,13,Fashion,Male
CUST_0145,47,75.13,97,13,10.0,166.92,7,Fashion,Male
CUST_0146,53,74.32,10,9,10.0,100.0,7,Sports,Female
CUST_0147,29,15.0,67,10,95.05,173.29,0,Beauty,Female
CUST_0148,28,80.87,44,14,27.57,136.99,8,Fashion,Male
CUST_0149,50,75.57,86,17,10.0,756.13,1,Electronics,Female
CUST_0150,47,103.39,18,13,37.07,100.0,11,Electronics,Male
CUST_0151,47,137.97,69,17,10.0,371.83,8,Beauty,Female
CUST_0152,48,116.3,83,17,11.8,522.47,0,Beauty,Male
CUST_0153,35,74.43,94,17,23.83,190.44,11,Sports,Male
CUST_0154,46,49.3,68,11,51.14,223.47,9,Home & Garden,Female
CUST_0155,47,150.0,50,12,10.0,513.49,13,Electronics,Male
CUST_0156,35,84.28,62,12,12.71,287.98,13,Beauty,Female
CUST_0157,66,82.92,87,17,10.0,408.16,8,Electronics,Male
CUST_0158,49,81.78,57,13,20.95,228.69,3,Beauty,Male
CUST_0159,29,88.44,4,19,10.0,100.0,8,Fashion,Female
CUST_0160,51,78.17,93,17,10.0,499.66,6,Electronics,Male
CUST_0161,32,65.29,69,9,10.0,688.57,10,Fashion,Male
CUST_0162,53,66.09,67,14,39.17,336.87,5,Electronics,Male
CUST_0163,57,81.52,22,15,51.07,274.09,14,Home & Garden,Female
CUST_0164,34,66.2,66,29,10.0,468.94,4,Sports,Female
CUST_0165,55,61.11,39,14,10.0,100.0,10,Fashion,Female
CUST_0166,48,85.69,65,12,10.0,706.89,8,Beauty,Male
CUST_0167,53,74.85,11,18,10.0,223.17,1,Home & Garden,Male
CUST_0168,66,127.62,66,19,10.25,779.61,13,Electronics,Male
CUST_0169,41,15.0,99,20,132.54,180.39,12,Fashion,Female
CUST_0170,34,115.25,5,17,10.0,609.1,10,Electronics,Male
CUST_0171,33,119.88,97,9,85.2,685.8,13,Electronics,Female
CUST_0172,34,20.3,41,13,51.87,274.2,11,Electronics,Male
CUST_0173,43,72.22,87,12,21.25,452.24,1,Sports,Female
CUST_0174,48,71.36,78,18,95.07,327.01,10,Sports,Female
CUST_0175,47,40.27,57,17,22.63,491.66,11,Beauty,Female
CUST_0176,53,59.17,74,21,25.37,368.4,14,Fashion,Male
CUST_0177,44,49.18,87,8,10.0,100.0,8,Home & Garden,Male
CUST_0178,61,135.07,41,19,74.69,169.7,11,Home & Garden,Male
CUST_0179,40,110.57,33,20,65.88,282.97,2,Home & Garden,Male
CUST_0180,70,120.65,67,16,10.0,504.29,7,Electronics,Male
CUST_0181,51,104.15,80,17,10.0,436.98,10,Sports,Female
CUST_0182,33,48.63,76,20,10.0,569.05,14,Fashion,Male
CUST_0183,31,66.76,79,15,10.0,100.0,8,Electronics,Female
CUST_0184,49,97.18,44,13,10.0,355.08,7,Sports,Female
CUST_0185,41,45.84,81,18,66.46,100.0,3,Sports,Male
CUST_0186,52,103.89,12,21,10.0,395.72,11,Fashion,Female
CUST_0187,49,75.29,54,16,10.0,293.69,0,Fashion,Male
CUST_0188,43,71.26,1,16,10.03,229.43,3,Fashion,Male
CUST_0189,33,103.83,33,12,52.8,133.88,13,Electronics,Female
CUST_0190,25,95.83,37,9,10.0,558.55,8,Beauty,Female
CUST_0191,38,71.67,40,15,10.0,471.69,1,Fashion,Male
CUST_0192,54,117.28,69,24,22.29,558.27,2,Beauty,Male
CUST_0193,46,50.07,39,18,65.01,191.23,9,Electronics,Female
CUST_0194,29,100.98,45,17,10.0,452.93,7,Beauty,Male
CUST_0195,46,100.29,24,12,10.0,131.21,5,Home & Garden,Female
CUST_0196,48,73.21,37,15,38.31,428.54,7,Beauty,Female
CUST_0197,33,92.28,23,10,10.0,583.46,6,Fashion,Female
CUST_0198,45,44.97,8,27,10.0,328.06,13,Electronics,Male
CUST_0199,44,110.22,60,15,10.0,254.52,12,Fashion,Male
CUST_0200,30,76.95,67,16,10.0,427.19,12,Home & Garden,Male
CUST_0201,48,66.82,62,11,10.0,100.0,4,Fashion,Male
CUST_0202,50,113.97,46,11,10.0,480.42,8,Fashion,Male
CUST_0203,56,61.37,38,9,50.99,326.86,3,Fashion,Male
CUST_0204,56,40.25,86,19,67.77,100.0,5,Sports,Female
CUST_0205,27,35.8,52,15,36.16,100.0,1,Home & Garden,Female
CUST_0206,32,100.68,48,22,10.0,288.73,14,Fashion,Male
CUST_0207,50,44.09,3,9,10.0,100.0,1,Fashion,Male
CUST_0208,50,135.14,34,9,13.19,130.39,1,Fashion,Male
CUST_0209,50,20.04,38,15,31.94,231.88,9,Electronics,Male
CUST_0210,70,133.39,40,15,46.76,437.08,6,Sports,Female
CUST_0211,50,88.83,58,12,10.0,312.81,12,Electronics,Female
CUST_0212,57,79.6,53,14,12.06,167.04,1,Sports,Female
CUST_0213,55,66.15,61,21,29.48,525.05,14,Fashion,Female
CUST_0214,51,94.47,76,16,82.24,748.03,14,Home & Garden,Female
CUST_0215,40,81.37,81,19,43.36,309.03,11,Beauty,Female
CUST_0216,53,115.6,72,17,51.01,324.76,14,Beauty,Male
CUST_0217,34,85.93,95,12,12.78,555.1,12,Fashion,Female
CUST_0218,41,87.01,2,16,79.22,108.41,1,Electronics,Female
CUST_0219,38,71.59,20,9,27.65,175.3,14,Home & Garden,Male
CUST_0220,44,80.79,1,14,10.0,312.51,8,Sports,Male
CUST_0221,70,91.73,65,10,79.34,100.0,6,Fashion,Male
CUST_0222,21,31.19,89,18,38.01,593.05,10,Home & Garden,Female
CUST_0223,52,42.05,25,8,10.0,173.64,2,Home & Garden,Male
CUST_0224,24,104.8,92,23,10.0,403.3,2,Sports,Male
CUST_0225,38,87.63,6,17,23.59,175.41,6,Home & Garden,Male
CUST_0226,57,76.98,93,16,30.86,425.45,4,Electronics,Female
CUST_0227,44,83.05,35,16,18.17,100.0,9,Electronics,Male
CUST_0228,31,92.93,11,18,24.86,517.84,13,Electronics,Female
CUST_0229,35,66.31,49,21,91.63,287.88,13,Home & Garden,Female
CUST_0230,52,59.15,26,15,59.49,284.9,5,Electronics,Female
CUST_0231,35,88.38,29,12,18.37,454.06,12,Sports,Female
CUST_0232,46,53.15,31,16,52.38,100.0,11,Home & Garden,Male
CUST_0233,44,94.75,80,10,10.0,524.19,7,Beauty,Male
CUST_0234,36,31.42,54,13,23.04,171.32,8,Home & Garden,Female
CUST_0235,69,113.37,31,17,101.8,489.1,0,Sports,Male
CUST_0236,51,96.68,61,17,10.0,100.0,2,Beauty,Male
CUST_0237,19,90.18,71,13,10.0,373.54,10,Home & Garden,Female
CUST_0238,46,111.98,27,14,10.0,184.4,6,Electronics,Male
CUST_0239,36,132.46,41,21,10.0,474.38,5,Fashion,Female
CUST_0240,54,112.93,13,13,10.0,358.87,6,Fashion,Male
CUST_0241,34,27.27,18,13,10.0,100.0,7,Electronics,Female
CUST_0242,42,44.11,68,17,10.0,149.79,5,Fashion,Female
CUST_0243,50,63.76,18,13,10.0,159.38,2,Fashion,Female
CUST_0244,54,83.28,52,14,53.44,143.24,1,Electronics,Male
CUST_0245,29,98.03,71,21,10.0,577.46,11,Electronics,Female
CUST_0246,39,60.73,11,10,82.04,100.0,6,Home & Garden,Female
CUST_0247,38,88.1,57,17,34.35,100.0,11,Home & Garden,Male
CUST_0248,36,59.84,26,13,57.51,122.71,11,Electronics,Male
CUST_0249,65,64.15,96,14,10.0,208.6,11,Sports,Female
CUST_0250,48,40.3,48,17,46.76,100.0,10,Fashion,Female
CUST_0251,28,54.8,80,13,10.0,102.12,0,Home & Garden,Male
CUST_0252,55,41.95,55,17,48.71,270.78,2,Fashion,Female
CUST_0253,69,53.22,5,15,13.91,387.18,11,Beauty,Male
CUST_0254,56,114.11,63,14,39.07,479.86,10,Electronics,Male
CUST_0255,25,54.02,95,10,10.0,271.74,3,Sports,Female
CUST_0256,38,150.0,60,18,10.0,571.18,12,Beauty,Female
CUST_0257,59,97.3,82,13,39.59,348.78,13,Beauty,Female
CUST_0258,35,88.05,88,16,10.0,301.17,0,Beauty,Female
CUST_0259,49,56.75,23,25,28.84,100.0,4,Electronics,Male
CUST_0260,53,103.51,21,14,10.0,100.0,9,Home & Garden,Male
CUST_0261,32,65.23,61,15,48.93,235.48,2,Electronics,Male
CUST_0262,43,86.16,41,16,10.0,326.93,1,Home & Garden,Female
CUST_0263,18,150.0,84,14,42.61,532.68,14,Beauty,Female
CUST_0264,31,79.62,90,12,39.24,346.04,2,Beauty,Male
CUST_0265,40,116.98,35,7,10.0,149.81,7,Sports,Male
CUST_0266,29,61.4,24,16,35.24,316.46,5,Home & Garden,Male
CUST_0267,63,81.45,78,16,21.17,133.47,12,Beauty,Female
CUST_0268,26,135.62,28,14,10.0,510.45,13,Fashion,Male
CUST_0269,38,63.69,82,15,10.0,172.94,6,Sports,Male
CUST_0270,45,136.87,42,16,10.0,249.26,11,Electronics,Female
CUST_0271,61,103.73,67,16,27.86,115.11,5,Sports,Female
CUST_0272,26,65.63,10,14,10.0,100.0,5,Fashion,Female
CUST_0273,57,101.47,62,15,14.91,584.01,11,Home & Garden,Female
CUST_0274,44,111.68,45,21,10.0,461.48,2,Electronics,Male
CUST_0275,32,101.15,59,15,44.07,574.99,11,Electronics,Female
CUST_0276,49,35.39,17,10,10.0,226.22,12,Home & Garden,Female
CUST_0277,46,60.69,73,10,10.0,119.64,13,Sports,Female
CUST_0278,36,75.07,86,23,44.1,341.99,7,Beauty,Male
CUST_0279,44,80.27,22,15,24.78,100.0,11,Sports,Male
CUST_0280,39,101.12,10,16,25.92,498.36,6,Fashion,Male
CUST_0281,45,87.83,3,12,32.25,100.0,6,Beauty,Male
CUST_0282,51,42.44,64,18,10.0,455.62,5,Sports,Female
CUST_0283,63,93.91,61,15,47.23,549.4,4,Home & Garden,Male
CUST_0284,29,100.82,55,16,40.71,732.56,9,Fashion,Male
CUST_0285,69,99.29,23,19,10.0,185.65,7,Fashion,Male
CUST_0286,20,114.92,39,11,10.0,489.31,4,Fashion,Male
CUST_0287,42,107.52,59,20,10.0,848.37,8,Beauty,Male
CUST_0288,51,96.28,50,14,10.0,219.02,8,Electronics,Male
CUST_0289,47,80.4,98,17,24.73,147.78,0,Beauty,Male
CUST_0290,36,32.67,14,17,74.84,100.0,5,Sports,Female
CUST_0291,41,95.39,69,12,63.63,540.32,6,Electronics,Female
CUST_0292,38,88.73,41,19,10.0,100.0,2,Sports,Male
CUST_0293,36,90.65,43,17,40.17,235.83,6,Electronics,Female
CUST_0294,54,44.2,72,12,70.87,391.86,10,Beauty,Female
CUST_0295,48,50.07,69,18,24.35,344.17,10,Fashion,Female
CUST_0296,35,114.09,99,18,65.96,610.28,6,Home & Garden,Male
CUST_0297,54,81.31,13,17,108.74,246.08,13,Fashion,Male
CUST_0298,47,102.95,11,20,61.48,494.66,12,Beauty,Male
CUST_0299,53,83.35,72,9,20.8,192.24,10,Electronics,Male
CUST_0300,51,83.39,58,8,60.59,205.39,1,Fashion,Male
CUST_0301,34,110.65,28,14,18.31,150.77,6,Beauty,Female
CUST_0302,37,67.02,8,13,10.0,324.08,14,Sports,Male
CUST_0303,52,85.38,9,15,10.0,377.85,0,Home & Garden,Male
CUST_0304,51,68.63,89,8,85.03,494.51,4,Fashion,Female
CUST_0305,43,69.47,19,6,10.0,432.63,8,Electronics,Male
CUST_0306,45,73.22,33,14,83.94,100.0,6,Sports,Female
CUST_0307,59,89.16,23,12,33.91,580.77,6,Beauty,Female
CUST_0308,36,68.14,36,14,10.0,548.92,10,Home & Garden,Female
CUST_0309,50,120.17,7,13,30.4,408.47,12,Electronics,Female
CUST_0310,41,55.66,52,11,10.0,623.68,11,Beauty,Male
CUST_0311,41,76.89,7,13,38.96,100.0,1,Beauty,Female
CUST_0312,57,69.31,80,10,51.19,273.73,7,Fashion,Female
CUST_0313,53,125.91,24,15,10.0,176.76,2,Fashion,Female
CUST_0314,53,88.4,54,16,15.02,483.09,14,Electronics,Female
CUST_0315,59,113.46,88,8,109.05,280.88,7,Beauty,Female
CUST_0316,44,37.93,65,12,10.0,422.37,2,Fashion,Male
CUST_0317,52,90.51,53,16,10.0,614.13,9,Home & Garden,Female
CUST_0318,40,109.19,33,10,85.0,456.42,6,Home & Garden,Male
CUST_0319,47,84.97,33,12,106.63,325.69,1,Beauty,Female
CUST_0320,42,114.46,67,12,11.63,232.35,3,Fashion,Female
CUST_0321,45,66.98,99,16,57.27,261.59,10,Electronics,Male
CUST_0322,51,124.78,66,18,79.55,697.48,5,Electronics,Male
CUST_0323,34,150.0,56,6,10.0,623.87,10,Electronics,Male
CUST_0324,69,71.61,73,17,10.0,354.43,8,Home & Garden,Female
CUST_0325,31,69.13,47,19,68.46,195.69,4,Fashion,Female
CUST_0326,29,126.1,6,12,96.86,100.0,12,Fashion,Female
CUST_0327,57,129.89,56,13,41.13,213.6,8,Home & Garden,Female
CUST_0328,53,66.81,95,13,10.0,800.91,14,Electronics,Female
CUST_0329,51,69.89,18,20,106.34,100.0,4,Electronics,Male
CUST_0330,51,74.05,69,14,10.0,392.99,9,Beauty,Male
CUST_0331,43,42.17,20,9,10.0,345.82,7,Sports,Female
CUST_0332,33,54.94,54,15,22.61,100.0,12,Fashion,Male
CUST_0333,44,52.38,10,17,82.95,171.69,12,Fashion,Male
CUST_0334,35,59.47,45,18,48.65,441.52,0,Fashion,Male
CUST_0335,55,81.46,75,12,28.89,390.42,6,Sports,Male
CUST_0336,42,89.53,35,18,32.12,857.73,3,Beauty,Female
CUST_0337,34,129.02,66,6,15.08,122.31,4,Sports,Male
CUST_0338,40,52.55,79,24,33.16,553.84,5,Electronics,Female
CUST_0339,48,112.03,92,14,10.0,465.5,4,Electronics,Male
CUST_0340,37,76.08,24,11,10.0,378.54,11,Fashion,Male
CUST_0341,34,81.02,40,13,20.17,370.29,0,Home & Garden,Male
CUST_0342,46,102.74,16,18,10.0,106.86,11,Fashion,Female
CUST_0343,46,48.82,99,11,24.2,440.44,8,Home & Garden,Female
CUST_0344,37,93.97,92,15,10.0,100.0,1,Sports,Female
CUST_0345,38,87.49,54,11,96.52,457.64,8,Electronics,Female
CUST_0346,46,97.27,84,16,88.38,506.18,9,Home & Garden,Female
CUST_0347,26,91.18,52,10,10.0,466.08,1,Sports,Female
CUST_0348,27,150.0,62,18,10.0,697.62,8,Electronics,Female
CUST_0349,35,63.37,9,17,10.0,227.26,5,Home & Garden,Female
CUST_0350,41,66.57,75,18,10.0,387.76,10,Fashion,Male
CUST_0351,47,63.81,13,21,16.13,100.0,8,Fashion,Female
CUST_0352,61,65.84,82,13,10.0,235.23,12,Fashion,Female
CUST_0353,54,63.38,78,9,10.0,598.1,5,Sports,Female
CUST_0354,42,118.17,71,12,42.95,736.61,5,Fashion,Male
CUST_0355,43,125.12,4,13,43.99,214.61,12,Beauty,Female
CUST_0356,31,65.38,31,10,10.0,232.96,10,Electronics,Female
CUST_0357,43,57.53,27,15,50.52,100.0,13,Sports,Male
CUST_0358,40,96.64,36,15,10.0,535.84,1,Fashion,Female
CUST_0359,47,65.93,9,25,19.25,291.95,7,Electronics,Male
CUST_0360,34,101.49,93,17,51.17,870.22,2,Home & Garden,Male
CUST_0361,50,88.59,55,18,10.0,166.51,6,Fashion,Male
CUST_0362,62,37.03,31,10,26.44,100.0,4,Electronics,Male
CUST_0363,42,128.93,40,18,10.0,424.14,2,Beauty,Female
CUST_0364,48,136.38,45,10,10.0,537.05,0,Home & Garden,Male
CUST_0365,52,64.12,60,18,10.0,265.1,7,Beauty,Male
CUST_0366,39,70.87,52,13,10.0,123.15,2,Electronics,Male
CUST_0367,46,91.08,92,20,10.0,634.43,1,Beauty,Male
CUST_0368,44,92.53,50,18,10.0,479.29,0,Electronics,Male
CUST_0369,45,102.26,99,14,10.0,318.26,3,Electronics,Female
CUST_0370,34,142.81,85,8,10.0,811.7,12,Beauty,Male
CUST_0371,44,77.19,21,12,10.0,451.42,7,Electronics,Female
CUST_0372,49,58.55,93,18,10.0,422.96,12,Fashion,Female
CUST_0373,61,41.12,12,25,10.0,134.16,2,Electronics,Male
CUST_0374,55,60.57,81,13,30.03,474.96,13,Sports,Female
CUST_0375,69,81.51,38,11,51.88,104.67,0,Electronics,Male
CUST_0376,34,136.34,87,16,10.0,539.68,3,Sports,Male
CUST_0377,54,66.97,86,16,10.0,100.0,8,Electronics,Male
CUST_0378,46,89.21,80,19,10.0,593.72,12,Electronics,Male
CUST_0379,70,82.01,79,14,10.0,100.0,0,Beauty,Female
CUST_0380,34,118.15,31,12,10.0,629.99,11,Fashion,Female
CUST_0381,33,150.0,9,22,10.0,260.98,13,Fashion,Male
CUST_0382,36,66.57,40,15,10.0,210.81,10,Home & Garden,Female
CUST_0383,18,67.82,18,17,10.0,100.0,1,Beauty,Male
CUST_0384,37,113.82,69,10,20.45,377.04,8,Beauty,Female
CUST_0385,34,102.96,35,16,40.05,594.62,1,Fashion,Male
CUST_0386,45,137.9,97,15,10.0,100.0,12,Beauty,Male
CUST_0387,48,100.02,64,15,10.0,647.43,2,Fashion,Male
CUST_0388,66,71.72,82,8,10.0,457.05,6,Beauty,Male
CUST_0389,55,100.22,14,19,10.0,100.0,2,Electronics,Female
CUST_0390,37,115.76,86,15,10.0,274.46,8,Fashion,Female
CUST_0391,33,107.11,92,6,39.37,825.51,5,Fashion,Male
CUST_0392,49,97.72,49,14,10.0,153.34,2,Sports,Female
